event_num,event,date,venue,attendance,city,state,country,weight_class,winner,loser,method,round,time,fight_card,event_name,link
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Featherweight,Aaron Pico,Pedro Carvalho,,,,Main card,Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Lightweight,Mark Ewen,Noah Gugnon,,,,Preliminary card (Youtube/Pluto TV),Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Middleweight,Grégory Babene,Charlie Ward,,,,Preliminary card (Youtube/Pluto TV),Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Bantamweight,Ciarán Clarke,Przemysław Górny,,,,Preliminary card (Youtube/Pluto TV),Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Women's Featherweight,Sinead Kavanagh,Sara Collins,,,,Main card,Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Welterweight,Levan Chokheli,Sabah Homasi,,,,Announced Bouts,Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Featherweight,Brian Moore,Otto Rodrigues,,,,Preliminary card (Youtube/Pluto TV),Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Heavyweight,Sergey Bilostenniy,Kasim Aras,,,,Announced Bouts,Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Middleweight,Johnny Eblen (c),Fabian Edwards,,,,Main card,Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland,Featherweight,Mads Burnell,Daniel Weichel,,,,Main card,Bellator 299,https://en.wikipedia.org//wiki/Bellator_299
