event_num,event,date,venue,city,state,country,attendance,weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link
102,Glory: Collision 5,2023-06-17,Rotterdam Ahoy,,Rotterdam, Netherlands,,Heavyweight 95+ kg,Tariq Osaro,Antonio Plazibat,KO (punches and knee),5.0,128.0,For the interim Glory Heavyweight Championship.,Main card,Glory: Collision 5,https://en.wikipedia.org//wiki/2023_in_Glory
102,Glory: Collision 5,2023-06-17,Rotterdam Ahoy,,Rotterdam, Netherlands,,Light Heavyweight -95 kg,Tarik Khbabez,Mohamed Amine,KO (uppercut),4.0,122.0,For the interim Glory Light Heavyweight Championship.,Main card,Glory: Collision 5,https://en.wikipedia.org//wiki/2023_in_Glory
102,Glory: Collision 5,2023-06-17,Rotterdam Ahoy,,Rotterdam, Netherlands,,Middleweight -85 kg,Donovan Wisse (c),Serkan Ozcaglayan,Decision (unanimous),5.0,180.0,For the Glory Middleweight Championship.,Main card,Glory: Collision 5,https://en.wikipedia.org//wiki/2023_in_Glory
102,Glory: Collision 5,2023-06-17,Rotterdam Ahoy,,Rotterdam, Netherlands,,Welterweight -77 kg,Endy Semeleer (c),Jay Overmeer,Decision (unanimous),5.0,180.0,For the Glory Welterweight Championship.,Main card,Glory: Collision 5,https://en.wikipedia.org//wiki/2023_in_Glory
102,Glory: Collision 5,2023-06-17,Rotterdam Ahoy,,Rotterdam, Netherlands,,Light Heavyweight -95 kg,Ibrahim El Bouni,Felipe Micheletti,Decision (unanimous),3.0,180.0,,Main card,Glory: Collision 5,https://en.wikipedia.org//wiki/2023_in_Glory
102,Glory: Collision 5,2023-06-17,Rotterdam Ahoy,,Rotterdam, Netherlands,,Middleweight -85 kg,Michael Boapeah,Ulric Bokeme,TKO (retirement),1.0,128.0,,Main card,Glory: Collision 5,https://en.wikipedia.org//wiki/2023_in_Glory
102,Glory: Collision 5,2023-06-17,Rotterdam Ahoy,,Rotterdam, Netherlands,,Heavyweight 95+ kg,Nabil Khachab,Vladimir Toktasynov,Decision (unanimous),3.0,180.0,,Prelims,Glory: Collision 5,https://en.wikipedia.org//wiki/2023_in_Glory
102,Glory: Collision 5,2023-06-17,Rotterdam Ahoy,,Rotterdam, Netherlands,,Welterweight 77 kg,Diaguely Camara,Eduard Gafencu,TKO (knee),2.0,144.0,,Prelims,Glory: Collision 5,https://en.wikipedia.org//wiki/2023_in_Glory
102,Glory: Collision 5,2023-06-17,Rotterdam Ahoy,,Rotterdam, Netherlands,,Lightweight 70 kg,Andrej Kedveš,Mareks Pelcis,Decision (unanimous),3.0,180.0,,Prelims,Glory: Collision 5,https://en.wikipedia.org//wiki/2023_in_Glory
101,Glory 86,2023-05-27,Grugahalle,,Essen, Germany,,Featherweight 65 kg,Petpanomrung Kiatmuu9 (c),Ahmad Chikh Mousa,Decision (Unanimous),5.0,180.0,For the Glory Featherweight Championship,Main card,Glory 86,https://en.wikipedia.org//wiki/2023_in_Glory
101,Glory 86,2023-05-27,Grugahalle,,Essen, Germany,,Heavyweight 95+ kg,Sofian Laidouni,Benjamin Adegbuyi,Decision (Unanimous),3.0,180.0,Heavyweight Grand Prix Qualifier,Main card,Glory 86,https://en.wikipedia.org//wiki/2023_in_Glory
