event_num,event,date,venue,city,state,country,attendance,weight_class,winner,loser,method,round,time,notes,fight_card,event_name
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Bantamweight,Jhanlo Mark Sangiao,Eknh-Orgil Baatarkhuu,,,,,Main card,ONE Fight Night 13
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Heavyweight,Marcus Almeida,Oumar Kane,,,,,Main card,ONE Fight Night 13
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Bantamweight Submission Grappling,Rodrigo Marello,Diego Batista,,,,,Main card,ONE Fight Night 13
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Women's Atomweight Kickboxing,Supergirl Jaroonsak,Cristina Morales,,,,,Main card,ONE Fight Night 13
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Featherweight Kickboxing,Chingiz Allazov (c),Marat Grigorian,,,,[a],Main card,ONE Fight Night 13
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Lightweight Muay Thai,Liam Nolan,Rungrawee Sitsongpeenong,,,,,Main card,ONE Fight Night 13
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Heavyweight Kickboxing,Iraj Azizpour,Ahmed Krnjić,,,,,Main card,ONE Fight Night 13
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Bantamweight,John Lineker,Kim Jae Woong,,,,,Main card,ONE Fight Night 13
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Featherweight Kickboxing,Tawanchai P.K.Saenchai,Davit Kiria,,,,,Main card,ONE Fight Night 13
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Lightweight Kickboxing,Constantin Rusu,Bogdan Shumarov,,,,,Main card,ONE Fight Night 12
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Flyweight,Walter Goncalves,Banma Duoji,,,,,Main card,ONE Fight Night 12
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Flyweight Muay Thai,Superlek Kiatmuu9,Tagir Khalilov,,,,,Main card,ONE Fight Night 12
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Flyweight,Xie Wei,Yuya Wakamatsu,,,,,Main card,ONE Fight Night 12
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Flyweight Muay Thai,Elias Mahmoudi,TBD,,,,,Main card,ONE Fight Night 12
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Women's Strawweight Submission Grappling,Tammi Musumeci,Amanda Alequin,,,,,Main card,ONE Fight Night 12
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Featherweight,Garry Tonon,Shamil Gasanov,,,,,Main card,ONE Fight Night 12
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Featherweight,Aaron Cañarte,Akbar Abdullaev,,,,,Main card,ONE Fight Night 12
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Heavyweight,Amir Aliakbari,Dustin Joynson,,,,,Main card,ONE Fight Night 12
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Women's Atomweight Muay Thai,Phetjeeja Lukjaoporongtom,Lara Fernandez,,,,,Main card,ONE Fight Night 12
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Bantamweight Muay Thai,Fariyar Aminipour,Rambolek Chor.Ajalaboon,Decision (split),3.0,180.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Bantamweight Muay Thai,Fariya Aminipour,Rambolek Chor.Ajalaboon,Decision (split),3.0,180.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Middleweight,Shamil Erdogan,Fan Rong,KO (front kick to the body),2.0,37.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Catchweight (142 lbs) Muay Thai,Saeksan Or. Kwanmuang,Nathan Bendon,Decision (unanimous),3.0,180.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Catchweight (119 lbs) Muay Thai,Akram Hamidi,Jomhod AutoMuayThai,KO (left hook to the body),2.0,36.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Middleweight,Shamil Erdogan,Fan Rong,KO (body kick),2.0,37.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Flyweight Muay Thai,Superlek Kiatmuu9,Nabil Anane,KO (straight to the body),1.0,123.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Strawweight Muay Thai,Prajanchai P.K.Saenchai,Sam-A Gaiyanghadao,KO (elbow),2.0,130.0,For the interim ONE Strawweight Muay Thai Championship.,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Heavyweight,Anatoly Malykhin (ic),Arjan Bhullar (c),TKO (punches),3.0,162.0,For the unification ONE Heavyweight Championship.,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Heavyweight,Anatoly Malykhin (ic),Arjan Bhullar (c),TKO (punches),3.0,162.0,[b],Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Strawweight Muay Thai,Prajanchai P.K.Saenchai,Sam-A Gaiyanghadao,KO (elbow),2.0,130.0,[a],Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Bantamweight Muay Thai,Nico Carrillo,Muangthai P.K.Saenchai,TKO (three knockdowns),2.0,83.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Catchweight (132 lbs) Muay Thai,Kongthoranee Sor.Sommai,Gingsanglek Tor.Laksong,KO (left hook),2.0,28.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Featherweight Muay Thai,Sitthichai Sitsongpeenong,Eddie Abasolo,Decision (unanimous),3.0,180.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Catchweight (119 lbs) Muay Thai,Thongpoon P.K.Saenchai,Yangdam Sor.Tor. Hiewbangsaen,Decision (split),3.0,180.0,,Main card,ONE Friday Fights 22
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Catchweight (119 lbs) Muay Thai,Thongpoon P.K.Saenchai,Yangdam Sor.Tor.Hiewbangsaen,Decision (split),3.0,180.0,,Main card,ONE Friday Fights 22
250,ONE Friday Fights 21,2023-06-16,Lumpinee Boxing Stadium,,Bangkok, Thailand,,Catchweight (124 lbs) Muay Thai,Panthep V.K.Khaoyai,Yodkumarn Maxjandee,Decision (unanimous),3.0,180.0,,Main card,ONE Friday Fights 21
