event_num,event,date,venue,city,state,country,attendance,weight_class,winner,loser,method,round,time,fight_card
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Heavyweight,Austen Lane,Justin Tafa,No Contest (accidental eye poke),1.0,29.0,Main card
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Flyweight,Joshua Van,Zhalgas Zhumagulov,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+)
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Featherweight,Jack Jenkins,Jamall Emmers,"Decision (split) (27–30, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+)
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Women's Flyweight,Maycee Barber,Amanda Ribas,TKO (punches and elbows),2.0,222.0,Main card
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Lightweight,Jose Mariscal,Trevor Peek,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN / ESPN+)
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Women's Strawweight,Tabatha Ricci,Gillian Robertson,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,300.0,Preliminary card (ESPN / ESPN+)
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Welterweight,Randy Brown,Wellington Turman,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+)
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Featherweight,Ilia Topuria,Josh Emmett,"Decision (unanimous) (50–44, 50–42, 49–45)",5.0,300.0,Main card
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Featherweight,David Onama,Gabriel Santos,KO (punch),2.0,253.0,Main card
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Catchweight (157.25 lb),Mateusz Rębecki,Loik Radzhabov,TKO (punch),2.0,156.0,Preliminary card (ESPN / ESPN+)
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Welterweight,Neil Magny,Philip Rowe,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+)
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Middleweight,Sedriques Dumas,Cody Brundage,"Decision (unanimous) (30–27, 29–28, 30–27)",3.0,300.0,Preliminary card (ESPN / ESPN+)
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,Jacksonville, Florida, US,,Middleweight,Brendan Allen,Bruno Silva,Submission (rear-naked choke),1.0,279.0,Main card
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Flyweight,Alessandro Costa,Jimmy Flick,TKO (elbows),2.0,63.0,Preliminary card (ESPN2 / ESPN+)
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Middleweight,Jared Cannonier,Marvin Vettori,"Decision (unanimous) (49–45, 49–45, 48–46)",5.0,300.0,Main card
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Middleweight,Armen Petrosyan,Christian Leroy Duncan,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Main card
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Flyweight,Carlos Hernandez,Denys Bondar,"Technical Decision (unanimous) (30–27, 30–27, 29–28)",3.0,299.0,Preliminary card (ESPN2 / ESPN+)
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Welterweight,Nicolas Dalby,Muslim Salikhov,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Lightweight,Manuel Torres,Nikolas Motta,KO (elbow),1.0,110.0,Main card
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Featherweight,Pat Sabatini,Lucas Almeida,Submission (arm-triangle choke),2.0,108.0,Main card
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Women's Flyweight,Tereza Bledá,Gabriella Fernandes,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card (ESPN2 / ESPN+)
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Lightweight,Arman Tsarukyan,Joaquim Silva,TKO (punches),3.0,205.0,Main card
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Bantamweight,Dan Argueta,Ronnie Lawrence,No Contest (overturned),1.0,140.0,Preliminary card (ESPN2 / ESPN+)
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Bantamweight,Kang Kyung-ho,Cristian Quiñonez,Submission (rear-naked choke),1.0,145.0,Preliminary card (ESPN2 / ESPN+)
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,Las Vegas, Nevada, US,,Light Heavyweight,Modestas Bukauskas,Zac Pauga,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN2 / ESPN+)
650,UFC 289: Nunes vs. Aldana,2023-06-10,Rogers Arena,Vancouver, British Columbia, Canada,17628.0,Lightweight,Charles Oliveira,Beneil Dariush,TKO (punches),1.0,250.0,Main card
650,UFC 289: Nunes vs. Aldana,2023-06-10,Rogers Arena,Vancouver, British Columbia, Canada,17628.0,Middleweight,Nassourdine Imavov,Chris Curtis,No Contest (accidental clash of heads),2.0,184.0,Preliminary card (ESPN / ESPN+)
650,UFC 289: Nunes vs. Aldana,2023-06-10,Rogers Arena,Vancouver, British Columbia, Canada,17628.0,Women's Bantamweight,Amanda Nunes (c),Irene Aldana,"Decision (unanimous) (50–44, 50–44, 50–43)",5.0,300.0,Main card
