event_details,event_date,event_title,fighter1,fighter2,city,state,country
http://ufcstats.com/event-details/7abe471b61725980,2023-06-03,UFC Fight Night, Kara-France,Albazi,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/6f812143641ceff8,2023-05-20,UFC Fight Night, Dern,Hill,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/901cddcbfa079097,2023-05-13,UFC Fight Night, Rozenstruik,Almeida,Charlotte,North Carolina,USA
http://ufcstats.com/event-details/3c6976f8182d9527,2023-05-06,UFC 288, Sterling,Cejudo,Newark,New Jersey,USA
http://ufcstats.com/event-details/51b1e2fd9872005b,2023-04-29,UFC Fight Night, Song,Simon,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/6fb1ba67bef41b37,2023-04-22,UFC Fight Night, Pavlovich,Blaydes,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/15b1b21cd743d652,2023-04-15,UFC Fight Night, Holloway,Allen,Kansas City,Missouri,USA
http://ufcstats.com/event-details/3dc3022232b79c7a,2023-04-08,UFC 287, Pereira,Adesanya 2,Miami,Florida,USA
http://ufcstats.com/event-details/aec273fcb765330d,2023-03-25,UFC Fight Night, Vera,Sandhagen,San Antonio,Texas,USA
http://ufcstats.com/event-details/e4bb7e483c4ad318,2023-03-18,UFC 286, Edwards,Usman 3,London,England,United Kingdom
http://ufcstats.com/event-details/35080a7f406f9ab3,2023-03-11,UFC Fight Night, Yan,Dvalishvili,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/1ccff7f0cfdf85eb,2023-03-04,UFC 285, Jones,Gane,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/806975e1b4f47b27,2023-02-25,UFC Fight Night, Muniz,Allen,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/f21a3d68fb9df387,2023-02-18,UFC Fight Night, Andrade,Blanchfield,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/01dd4cdc2446f665,2023-02-11,UFC 284, Makhachev,Volkanovski,Perth,Western Australia,Australia
http://ufcstats.com/event-details/d26394fc0e8e880a,2023-02-04,UFC Fight Night, Lewis,Spivac,Las Vegas,Nevada,USA
