#,event,date,venue,attendance,city,state,country
305,Bellator 299,2023-09-23,3Arena,,,Dublin, Ireland
304,Bellator 298,2023-08-11,Sanford Pentagon,,Sioux Falls, South Dakota, US
303,Bellator MMA x Rizin 2,2023-07-30,Saitama Super Arena,,,Saitama, Japan
302,Bellator 297,2023-06-16,Wintrust Arena,,Chicago, Illinois, US
301,Bellator 296,2023-05-12,Accor Arena,,,Paris, France
300,Bellator 295,2023-04-22,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US
299,Bellator 294,2023-04-21,Neal S. Blaisdell Arena,,Honolulu, Hawaii, US
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US
297,Bellator 292,2023-03-10,SAP Center,,San Jose, California, US
296,Bellator 291,2023-02-24,3Arena,,,Dublin, Ireland
295,Bellator 290,2023-02-04,Kia Forum,,Inglewood, California, US
294,Bellator MMA vs. Rizin,2022-12-31,Saitama Super Arena,,,Saitama, Japan
293,Bellator 289,2022-12-09,Mohegan Sun Arena,,Uncasville, Connecticut, US
292,Bellator 288,2022-11-18,Wintrust Arena,,Chicago, Illinois, US
291,Bellator 287,2022-10-29,Allianz Cloud Arena,,,Milan, Italy
290,Bellator 286,2022-10-01,Long Beach Arena,,Long Beach, California, US
289,Bellator 285,2022-09-23,3Arena,,,Dublin, Ireland
288,Bellator 284,2022-08-12,Sanford Pentagon,2900.0,Sioux Falls, South Dakota, US
287,Bellator 283,2022-07-22,Emerald Queen Casino and Hotel,1012.0,Tacoma, Washington, US
286,Bellator 282,2022-06-24,Mohegan Sun Arena,10000.0,Uncasville, Connecticut, US
285,Bellator 281,2022-05-13,SSE Arena,8779.0,,London, England
284,Bellator 280,2022-05-06,AccorHotels Arena,13131.0,,Paris, France
283,Bellator 279,2022-04-23,Neal S. Blaisdell Arena,6516.0,Honolulu, Hawaii, US
282,Bellator 278,2022-04-22,Neal S. Blaisdell Arena,6516.0,Honolulu, Hawaii, US
281,Bellator 277,2022-04-15,SAP Center,13950.0,San Jose, California, US
280,Bellator 276,2022-03-12,Family Arena,7053.0,St. Louis, Missouri, US
279,Bellator 275,2022-02-25,3Arena,8806.0,,Dublin, Ireland
278,Bellator 274,2022-02-19,Mohegan Sun Arena,11454.0,Uncasville, Connecticut, US
277,Bellator 273,2022-01-29,Footprint Center,12.0,Phoenix, Arizona, US
276,Bellator 272,2021-12-03,Mohegan Sun Arena,7600.0,Uncasville, Connecticut, US
275,Bellator 271,2021-11-12,Seminole Hard Rock Hotel & Casino Hollywood,2411.0,Hollywood, Florida, US
274,Bellator 270,2021-11-05,3Arena,10.0,,Dublin, Ireland
273,Bellator 269,2021-10-23,VTB Arena,11900.0,,Moscow, Russia
272,Bellator 268,2021-10-16,Footprint Center,9902.0,Phoenix, Arizona, US
271,Bellator 267,2021-10-01,Wembley Arena,8867.0,,London, England
270,Bellator 266,2021-09-18,SAP Center,14147.0,San Jose, California, US
269,Bellator 265,2021-08-20,Sanford Pentagon,2900.0,Sioux Falls, South Dakota, US
268,Bellator 264,2021-08-13,Mohegan Sun Arena,10000.0,Uncasville, Connecticut, US
267,Bellator 263,2021-07-31,The Forum,7024.0,Inglewood, California, US
266,Bellator 262,2021-07-16,Mohegan Sun Arena,12000.0,Uncasville, Connecticut, US
265,Bellator 261,2021-06-25,Mohegan Sun Arena,9112.0,Uncasville, Connecticut, US
264,Bellator 260,2021-06-11,Mohegan Sun Arena,5667.0,Uncasville, Connecticut, US
