event_num,event,date,venue,city,state,country,attendance
253,ONE Fight Night 13: Allazov vs. Grigorian,2023-08-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,
252,ONE Fight Night 12,2023-07-15,Lumpinee Boxing Stadium,,Bangkok, Thailand,
251,ONE Friday Fights 22: Bhullar vs. Malykhin,2023-06-23,Lumpinee Boxing Stadium,,Bangkok, Thailand,
250,ONE Friday Fights 21,2023-06-16,Lumpinee Boxing Stadium,,Bangkok, Thailand,
249,ONE Fight Night 11: Eersel vs. Menshikov,2023-06-10,Lumpinee Boxing Stadium,,Bangkok, Thailand,
248,ONE Friday Fights 20,2023-06-09,Lumpinee Boxing Stadium,,Bangkok, Thailand,
247,ONE Friday Fights 19: Kulabdam vs. Musaev,2023-06-02,Lumpinee Boxing Stadium,,Bangkok, Thailand,
246,ONE Friday Fights 18: Harrison vs. Pongsiri,2023-05-26,Lumpinee Boxing Stadium,,Bangkok, Thailand,
245,ONE Friday Fights 17: Pompetch vs. Duangsompong,2023-05-19,Lumpinee Boxing Stadium,,Bangkok, Thailand,
244,ONE Friday Fights 16: ET vs. Kongthoranee,2023-05-12,Lumpinee Boxing Stadium,,Bangkok, Thailand,
243,ONE Fight Night 10: Johnson vs. Moraes 3,2023-05-05,1stBank Center,Broomfield, Colorado, US,
242,ONE Friday Fights 15: Nakrob vs. Ploywitthaya,2023-05-05,Lumpinee Boxing Stadium,,Bangkok, Thailand,
241,ONE Friday Fights 14: Gingsanglek vs. Chorfah,2023-04-29,Lumpinee Boxing Stadium,,Bangkok, Thailand,
240,ONE Fight Night 9: Nong-O vs. Haggerty,2023-04-22,Lumpinee Boxing Stadium,,Bangkok, Thailand,
239,ONE Friday Fights 13: Batman vs. Paidang,2023-04-21,Lumpinee Boxing Stadium,,Bangkok, Thailand,
238,ONE Friday Fights 12: Petsukumvit vs. Kongthoranee,2023-04-07,Lumpinee Boxing Stadium,,Bangkok, Thailand,
237,ONE Friday Fights 11: Superball vs. Kongklai 2,2023-03-31,Lumpinee Boxing Stadium,,Bangkok, Thailand,
236,ONE Fight Night 8: Superlek vs. Williams,2023-03-25,Singapore Indoor Stadium,,Kallang, Singapore,
235,ONE Friday Fights 10: Yodkrisada vs. Thepthaksin,2023-03-24,Lumpinee Boxing Stadium,,Bangkok, Thailand,
234,ONE Friday Fights 9: Eersel vs. Sinsamut 2,2023-03-17,Lumpinee Boxing Stadium,,Bangkok, Thailand,
233,ONE Friday Fights 8: Petsukumvit vs. Petchmuangsri,2023-03-10,Lumpinee Boxing Stadium,,Bangkok, Thailand,
232,ONE Friday Fights 7: Rambolek vs. Theeradet,2023-03-03,Lumpinee Boxing Stadium,,Bangkok, Thailand,
231,ONE Fight Night 7: Lineker vs. Andrade 2,2023-02-25,Lumpinee Boxing Stadium,,Bangkok, Thailand,
230,ONE Friday Fights 6: Gingsanglek vs. Kongthoranee,2023-02-24,Lumpinee Boxing Stadium,,Bangkok, Thailand,
229,ONE Friday Fights 5: Kongklai vs. Superball,2023-02-17,Lumpinee Boxing Stadium,,Bangkok, Thailand,
228,ONE Friday Fights 4: Duangsompong vs. Batman,2023-02-10,Lumpinee Boxing Stadium,,Bangkok, Thailand,
227,ONE Friday Fights 3: Chorfah vs. Petsukumvit,2023-02-03,Lumpinee Boxing Stadium,,Bangkok, Thailand,
226,ONE Friday Fights 2: Sangmanee vs. Kulabdam 2,2023-01-27,Lumpinee Boxing Stadium,,Bangkok, Thailand,
225,ONE Friday Fights 1: Nong-O vs. Ramazanov,2023-01-20,Lumpinee Boxing Stadium,,Bangkok, Thailand,
224,ONE Fight Night 6: Superbon vs. Allazov,2023-01-14,Impact Arena,,Bangkok, Thailand,
223,ONE 164: Pacio vs. Brooks,2022-12-03,SM Mall of Asia Arena,,Pasay, Philippines,
222,ONE on Prime Video 5: de Ridder vs. Malykhin,2022-12-03,SM Mall of Asia Arena,,Pasay, Philippines,
221,ONE 163: Akimoto vs. Petchtanong,2022-11-19,Singapore Indoor Stadium,,Kallang, Singapore,
220,ONE on Prime Video 4: Abbasov vs. Lee,2022-11-19,Singapore Indoor Stadium,,Kallang, Singapore,
219,Road to ONE: Muay Thai Grand Prix London,2022-11-12,Peninsula Square,London, England, UK,
218,Road to ONE: Thailand 4,2022-10-29,Lumpinee Boxing Stadium,,Bangkok, Thailand,
217,ONE on Prime Video 3: Lineker vs. Andrade,2022-10-22,Axiata Arena,,Kuala Lumpur, Malaysia,
216,ONE 162: Zhang vs. Di Bella,2022-10-21,Axiata Arena,,Kuala Lumpur, Malaysia,
215,Road to ONE: BEAST Championship 11,2022-10-08,Gladstone Showground,Gladstone, Queensland, Australia,
214,Road to ONE: Muay Thai Grand Prix Sheffield,2022-10-01,Magna Centre,Sheffield, England, UK,
213,ONE on Prime Video 2: Xiong vs. Lee 3,2022-10-01,Singapore Indoor Stadium,,Kallang, Singapore,
212,ONE 161: Petchmorakot vs. Tawanchai,2022-09-29,Singapore Indoor Stadium,,Kallang, Singapore,
211,Road to ONE: Thailand 3,2022-09-17,Lumpinee Boxing Stadium,,Bangkok, Thailand,
210,Road to ONE: Muay Thai Grand Prix Liverpool,2022-09-10,Liverpool Olympia,Liverpool, England, UK,
209,ONE on Prime Video 1: Moraes vs. Johnson 2,2022-08-27,Singapore Indoor Stadium,,Kallang, Singapore,
208,ONE 160: Ok vs. Lee 2,2022-08-26,Singapore Indoor Stadium,,Kallang, Singapore,
207,Road to ONE: Thailand 2,2022-08-13,Lumpinee Boxing Stadium,,Bangkok, Thailand,
206,Road to ONE: Thailand 1,2022-08-06,Lumpinee Boxing Stadium,,Bangkok, Thailand,
205,ONE 159: de Ridder vs. Bigdash,2022-07-22,Singapore Indoor Stadium,,Kallang, Singapore,
204,ONE 158: Tawanchai vs. Larsen,2022-06-03,Singapore Indoor Stadium,,Kallang, Singapore,
203,ONE 157: Petchmorakot vs. Vienot,2022-05-20,Singapore Indoor Stadium,,Kallang, Singapore,
202,Road to ONE: RUF 47,2022-05-14,Celebrity Theatre,Phoenix, Arizona, US,
