event_num,event,date,venue,city,state,country
90,THAI FIGHT Luk Luang Phor Sothorn,2023-06-18,Community Dome at Wat Saman Rattanaram Hospital,,Chachoengsao province, Thailand
89,THAI FIGHT 100 Years Rajabhat Korat,2023-05-21,Nakhon Ratchasima Rajabhat University,,Nakhon Ratchasima, Thailand
88,THAI FIGHT Rome 2,2023-04-22,Palacesaroni,,Rome, Italy
87,THAI FIGHT KonLakPathum 2,2023-02-05,Jumbo Market,,Pathum Thani, Thailand
86,THAI FIGHT Luang Phor Ruay,2023-02-05,Courtyard beside Wat Cherng Khao,,Saraburi, Thailand
85,THAI FIGHT 100 Years Metropolitan,2022-12-24,The courtyard in front of Nimibutr Stadium,,Bangkok, Thailand
84,THAI FIGHT Vana Nava Huahin,2022-11-20,True Arena Huahin,Hua Hin, Prachuap Khiri Khan, Thailand
83,THAI FIGHT Vajiravudh,2022-10-16,Asiatique the Riverfront,,Bangkok, Thailand
82,THAI FIGHT Sisaket,2022-06-26,Pooyai Heng's Sports Arena,,Sisaket, Thailand
81,THAI FIGHT Nakhon Sawan,2022-05-29,Ban Rai Subdistrict Administrative Organization,,Nakhon Sawan, Thailand
80,THAI FIGHT Sung Noen,2022-05-08,Prasat Muang Khaek,Suen Noen, Nakhon Ratchasima, Thailand
79,THAI FIGHT KonLak Pathum,2022-04-17,Nakorn Rangsit Multipurpose Square,,Pathum Thani, Thailand
78,THAI FIGHT Lampang,2022-03-20,Wat Phra That Lampang Luang,,Lampang, Thailand
77,THAI FIGHT Khao Aor,2021-12-19,Wat Khao Aor Stadium,,Phatthalung, Thailand
76,THAI FIGHT Strong,2021-07-04,JF Boxing Pattaya,Pattaya, Chonburi, Thailand
75,THAI FIGHT DMHTT,2021-04-25,Omnoi Stadium,,Samut Sakhon, Thailand
74,THAI FIGHT Nan,2021-04-03,"Pa Pei Yard, Huaen Hung Tor",,Nan, Thailand
73,THAI FIGHT Pluak Daeng,2020-11-28,CK Plaza,,Rayong, Thailand
72,THAI FIGHT Korat 2020,2020-11-07,City Hall Ground,,Nakhon Ratchasima, Thailand
71,THAI FIGHT Begins,2020-10-17,CentralPlaza Westgate,,Nonthaburi, Thailand
70,THAI FIGHT New Normal,2020-09-19,MCC Hall the Mall Bangkapi,,Bangkok, Thailand
69,THAI FIGHT Thai Fest in Patong,2019-12-21,The Myth Patong,,Phuket, Thailand
68,THAI FIGHT Mae Sot,2019-11-23,Naresuan Stadium,Mae Sot, Tak, Thailand
67,THAI FIGHT Bangsaen,2019-10-26,Laem Thaen Bangsaen,Bang Saen Beach, Chonburi, Thailand
66,THAI FIGHT Kham Chanod,2019-08-24,Montatip Hall at UD Town,,Udon Thani, Thailand
65,THAI FIGHT Betong,2019-06-29,Betong Municipal Stadium,Betong, Yala, Thailand
64,THAI FIGHT Samui 2019,2019-04-27,Phru Chaweng,Ko Samui, Surat Thani, Thailand
63,THAI FIGHT Mueang Khon 2019,2019-03-30,CentralPlaza Nakhon Si Thammarat,,Nakhon Si Thammarat, Thailand
62,THAI FIGHT Phuket,2019-02-23,Laguna Phuket,,Phuket, Thailand
61,THAI FIGHT Nakhon Ratchasima,2018-12-22,City Hall Ground,,Nakhon Ratchasima, Thailand
60,THAI FIGHT Saraburi,2018-11-24,Wat Phra Phutthabat,,Saraburi, Thailand
59,THAI FIGHT Chiang Rai,2018-10-27,CentralPlaza Chiang Rai,,Chiang Rai, Thailand
58,THAI FIGHT Rayong,2018-08-15,Makro Hall Rayong,,Rayong, Thailand
57,THAI FIGHT Hat Yai,2018-07-17,Khlong Hae City Square,Hat Yai, Songkhla, Thailand
56,THAI FIGHT Samui 2018,2018-05-12,Phru Chaweng,Ko Samui, Surat Thani, Thailand
55,THAI FIGHT Rome,2018-04-21,Atlantico Live,,Rome, Italy
54,THAI FIGHT Mueang Khon,2018-03-24,CentralPlaza Nakhon Si Thammarat,,Nakhon Si Thammarat, Thailand
53,THAI FIGHT 2017 Bangkok,2018-01-27,Bangkok City Hall Square,,Bangkok, Thailand
52,THAI FIGHT Chiang Mai,2017-12-23,CentralPlaza Chiang Mai Airport,,Chiang Mai, Thailand
51,KHMER THAI FIGHT,2017-11-25,Phnom Penh Olympic Indoor Stadium,,Phnom Penh, Cambodia
50,THAI FIGHT Barcelona,2017-09-30,Palau dels Esports de Barcelona,,Barcelona, Spain
50,THAI FIGHT We Love Yala,2017-07-15,Yala Sports University,,Yala, Thailand
49,THAI FIGHT Italy,2017-05-27,PalaRuffini,,Turin, Italy
48,THAI FIGHT Samui 2017,2017-04-29,Phru Chaweng,Ko Samui, Surat Thani, Thailand
47,THAI FIGHT The Fighter King,2016-12-24,CentralWorld Square,,Bangkok, Thailand
46,THAI FIGHT AIR RACE 1,2016-11-19,U-Tapao International Airport,,Rayong, Thailand
45,THAI FIGHT Chengdu,2016-10-15,Sichuan Emeisun City Stadium,,Chengdu, China
44,THAI FIGHT London,2016-09-11,Indigo at the O2 Arena,London, England, UK
43,THAI FIGHT KMITL,2016-08-20,King Mongkut's Institute of Technology Ladkrabang,,Bangkok, Thailand
42,THAI FIGHT Proud to Be Thai,2016-07-23,Westgate Hall floor4,,Nonthaburi, Thailand
41,THAI FIGHT Samui 2016,2016-04-30,Phru Chaweng,Ko Samui, Surat Thani, Thailand
40,THAI FIGHT Paris,2016-04-18,Stade Pierre de Coubertin,,Paris, France
39,THAI FIGHT Korat,2016-03-19,Thao Suranari Monument,,Nakhon Ratchasima, Thailand
