event_num,event,date,venue,location,attendance,event_id
648,UFC Fight Night: Dern vs. Hill,2023-05-20,UFC Apex,"Las Vegas, Nevada, U.S.",,d8efd546a501350524b7b0987463472ddc45083f561753df30f5e0e468e4271a
647,UFC on ABC: Rozenstruik vs. Almeida,2023-05-13,Spectrum Center,"Charlotte, North Carolina, U.S.","18,712",b1ff2fc2110c5a0c1d8fd6fcda7d544ffb5a1fce513eb03bb692fd5d03c2fcea
646,UFC 288: Sterling vs. Cejudo,2023-05-06,Prudential Center,"Newark, New Jersey, U.S.","17,559",14ff8b34cf8ba961c51cbfae5e83e1870e2e93850144649d15b2891fcd018ca5
645,UFC on ESPN: Song vs. Simón,2023-04-29,UFC Apex,"Las Vegas, Nevada, U.S.",,1e43590228dd4bdfce337a7d45f67c32f78c9434eeeca79aedc48d31d55d96f5
644,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,UFC Apex,"Las Vegas, Nevada, U.S.",,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
643,UFC on ESPN: Holloway vs. Allen,2023-04-15,T-Mobile Center,"Kansas City, Missouri, U.S.","16,234",bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
642,UFC 287: Pereira vs. Adesanya 2,2023-04-08,Kaseya Center,"Miami, Florida, U.S.","19,032",5be0375bccd2a84a1654eeced7daff447605ffcc16544ffaa6b6305033392c55
641,UFC on ESPN: Vera vs. Sandhagen,2023-03-25,AT&T Center,"San Antonio, Texas, U.S.","16,076",e0d176f4aed4195c411bbd7dd3976e954e4f44e349c30b5531bb68f2a579e75e
640,UFC 286: Edwards vs. Usman 3,2023-03-18,The O2 Arena,"London, England, UK","17,588",0fd21c3564a5f57ae60ecbfeeccfb9834920d9ca854fa58370bd1e9dda53a574
639,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,The Theater at Virgin Hotels,"Las Vegas, Nevada, U.S.",,552cb318ba795330de3b5f28c2a53ca7bd86186a0328650d0438636ccf5977db
638,UFC 285: Jones vs. Gane,2023-03-04,T-Mobile Arena,"Las Vegas, Nevada, U.S.","19,471",6e1c3771d3f9ddd68351f68afc407e8d191d4aa60eed637dfb7ce0b325081f94
637,UFC Fight Night: Muniz vs. Allen,2023-02-25,UFC Apex,—,"19,471",c1a6307ea5d9a56f47e3271221b55336730ff2a3626a3b84c5b2e1ad55525692
636,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,UFC Apex,—,"19,471",adee5b8894a29bd40c722f70d20ff83beae58e3bb1eeebf96c510dd3b75d5db7
635,UFC 284: Makhachev vs. Volkanovski,2023-02-12,RAC Arena,"Perth, Australia","14,124",ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
634,UFC Fight Night: Lewis vs. Spivak,2023-02-04,UFC Apex,"Las Vegas, Nevada, U.S.",,335afc512dcb1bcfd63d6bb569b9f6b1f425fa80afca90bea13f9f3a26fe391b
633,UFC 283: Teixeira vs. Hill,2023-01-21,Jeunesse Arena,"Rio de Janeiro, Brazil","13,604",3bebb432b0f94fd66ec76540745746ecb1e2922a074d51ad8c3431c1de91a1bc
632,UFC Fight Night: Strickland vs. Imavov,2023-01-14,UFC Apex,"Las Vegas, Nevada, U.S.",,f7c8f38c30c26710fd0dd9c4f75b750a182b92339b8c26cb70403355c02641aa
631,UFC Fight Night: Cannonier vs. Strickland,2022-12-17,UFC Apex,"Las Vegas, Nevada, U.S.",,31397b44146d2570be8e9927fd24c992ca761a227826c7d193bd44b3a5083e4e
630,UFC 282: Błachowicz vs. Ankalaev,2022-12-10,T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,455",502f7275b810fa0bfd4da6bb83a13ef8b24898350756ccb0ad6310b784316138
629,UFC on ESPN: Thompson vs. Holland,2022-12-03,Amway Center,"Orlando, Florida, U.S.","17,065",79f9095f5c2409de8b3ab55694026f915dd4075d84e015a5cfd015996cd8bab3
628,UFC Fight Night: Nzechukwu vs. Cuțelaba,2022-11-19,UFC Apex,"Las Vegas, Nevada, U.S.",,89784624f21b2c466825bf3a7db9b33caa7a873b16858d07b46e455761315688
627,UFC 281: Adesanya vs. Pereira,2022-11-12,Madison Square Garden,"New York City, New York, U.S.","20,845",d3f18dff4786f312875247d3beb33ec6cda77c67bd54d691dff3c9cf3f298b78
626,UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,UFC Apex,"Las Vegas, Nevada, U.S.",,2d3f40573aadf9b4c546662e6812130488efc9a4555a0c001ea3314d23ae7f46
625,UFC Fight Night: Kattar vs. Allen,2022-10-29,UFC Apex,"Las Vegas, Nevada, U.S.",,ab90cb8e05490e5502fc2a7a9c5287e6d3b4836e22e67f9cf12663c7abf3b4fa
624,UFC 280: Oliveira vs. Makhachev,2022-10-22,Etihad Arena,"Abu Dhabi, United Arab Emirates","13,400",074e781c6825c85f5d5089eebec4b432aa8073a92a0e687418964e2706d0033f
623,UFC Fight Night: Grasso vs. Araújo,2022-10-15,UFC Apex,"Las Vegas, Nevada, U.S.",,9c471d888ce93e23b11cf5eca3e14c3760aafe1c7b7e1536a50a75d3d5452db7
622,UFC Fight Night: Dern vs. Yan,2022-10-01,UFC Apex,"Las Vegas, Nevada, U.S.",,d1dd88bc1688afaaf959d6781476fd5836ef769bb69989210224cb15d85c6557
621,UFC Fight Night: Sandhagen vs. Song,2022-09-17,UFC Apex,"Las Vegas, Nevada, U.S.",,599feeb433c0ce8dc59bd5640532abf95ca35abb3e64dc921ded63ec20ffdb68
620,UFC 279: Diaz vs. Ferguson,2022-09-10,T-Mobile Arena,"Las Vegas, Nevada, U.S.","19,125",3a5af8a99a2c804cca9d840d43eb60ac282899e769db384c632a891d2bbc6889
619,UFC Fight Night: Gane vs. Tuivasa,2022-09-03,Accor Arena,"Paris, France","15,405",b73bdfbe540fe11857188b9103304a373b95cc6096a483754caee1fcf484aa7a
618,UFC 278: Usman vs. Edwards 2,2022-08-20,Vivint Arena,"Salt Lake City, Utah, U.S.","18,321",6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
617,UFC on ESPN: Vera vs. Cruz,2022-08-13,Pechanga Arena,"San Diego, California, U.S.","12,804",9df7e5274a4be85e767b411c0884303fb7e458ca039f4a2b6cc8e795177de09c
616,UFC on ESPN: Santos vs. Hill,2022-08-06,UFC Apex,"Las Vegas, Nevada, U.S.",,d08c2ed3004e04c4146d2fd152a65b5c191095854e54f82776679f21466a0d28
615,UFC 277: Peña vs. Nunes 2,2022-07-30,American Airlines Center,"Dallas, Texas, U.S.","19,442",fccf8a840753d17441fd8b624151cb58d3076f3153861f6bef0cb5e09e9854fd
614,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,The O2 Arena,"London, England, UK","17,813",88b73d5b10a238a65fe64f0222061f59f99c246a18aae3ca973ce8dec4386f36
613,UFC on ABC: Ortega vs. Rodríguez,2022-07-16,UBS Arena,"Elmont, New York, U.S.","16,979",a7724d5662b05fb251948921b953d827c4227511af4712c1e2beb7b817c630ac
612,UFC on ESPN: dos Anjos vs. Fiziev,2022-07-09,UFC Apex,"Las Vegas, Nevada, U.S.",,6bb99de00192615461f83362cf5218d159574cb01c3864a976ad31893130a5a6
611,UFC 276: Adesanya vs. Cannonier,2022-07-02,T-Mobile Arena,"Las Vegas, Nevada, U.S.","19,649",90d00d67e135fde8b81be31e56969e5ef556663d522778fd7b6ba745fc0fe6f5
610,UFC on ESPN: Tsarukyan vs. Gamrot,2022-06-25,UFC Apex,—,"19,649",f9d5f817723a545ecd1b4e92c15fc2d0b9243941569c9280afd856fc18cf1a66
609,UFC on ESPN: Kattar vs. Emmett,2022-06-18,Moody Center,"Austin, Texas, U.S.","13,689",3c636e60305c6d415db9e3191bc80ec4452c039c69a171f7bc9ca53a3079fb84
608,UFC 275: Teixeira vs. Procházka,2022-06-12,Singapore Indoor Stadium,"Kallang, Singapore","10,787",768deec8b86e19370903c4fc682a296a142be692b3f4243e1c0d3188d8fd7b36
607,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,UFC Apex,"Las Vegas, Nevada, U.S.",,a6bfec6b710d6d32433290476919c201e785cb3b82e718e06c415293fb67ef1b
606,UFC Fight Night: Holm vs. Vieira,2022-05-21,UFC Apex,"Las Vegas, Nevada, U.S.",,8fb09a6df7a175e307dd694d4c3cd8b14c4db37117693ac4b514910c9d9d3602
605,UFC on ESPN: Błachowicz vs. Rakić,2022-05-14,UFC Apex,"Las Vegas, Nevada, U.S.",,12c05bdcdcb069b7d0827a1becc490b729e618358e5a13b30cb809655afb5f37
604,UFC 274: Oliveira vs. Gaethje,2022-05-07,Footprint Center,"Phoenix, Arizona, U.S.","17,232",34e995f571d2a3ed9240a22a8d368db430014a44164ef1be95e9f5422036fb07
603,UFC on ESPN: Font vs. Vera,2022-04-30,UFC Apex,"Las Vegas, Nevada, U.S.",,8f34cdd887c62dafe4251ce8566bb39108e313dc18f1d91f0117cda2d759ce38
602,UFC Fight Night: Lemos vs. Andrade,2022-04-23,UFC Apex,"Las Vegas, Nevada, U.S.",,6f6d64fbdb2a74ebb09213e9699f917ddde60e8fdb54a3b51c27d9e61e4af7dd
601,UFC on ESPN: Luque vs. Muhammad 2,2022-04-16,UFC Apex,"Las Vegas, Nevada, U.S.",,1f33791673c8a3015c32e2b59f6500f239436c8e34ba96dab11f1359385d9239
600,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","14,605",c6bb6c17a374457926be672516e3fee0d5128d53c985ecdb1d0efd2af2f56ecc
599,UFC on ESPN: Blaydes vs. Daukaus,2022-03-26,Nationwide Arena,"Columbus, Ohio, U.S.","18,630",dc28ed2ecf67c743dfb3c406141afedffdb37383d00872ee2464d17cff55d08b
598,UFC Fight Night: Volkov vs. Aspinall,2022-03-19,The O2 Arena,"London, England, UK","17,081",5142aaacad88765a8e54627e4c6b7ab8a2dc2ed3aa80481424447ad2199fe1b7
597,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,UFC Apex,"Las Vegas, Nevada, U.S.",,7dc87b54de6fc8fad43ac82b3c715a129cd241b84f4e1239586138e883377467
596,UFC 272: Covington vs. Masvidal,2022-03-05,T-Mobile Arena,"Las Vegas, Nevada, U.S.","19,425",d6f28174030899ff41ed83e43aa2b0639c1df858e2da45b3a5e3b8536128be75
595,UFC Fight Night: Makhachev vs. Green,2022-02-26,UFC Apex,—,"19,425",2e9665f33c094740cfcacbcabfc688152e95fea2499fe43300e695b6c056bc96
594,UFC Fight Night: Walker vs. Hill,2022-02-19,UFC Apex,—,"19,425",43e1f5a3bf8ed83213f313f81f0e036b0f67f2d3d9df826013887d5596df658e
593,UFC 271: Adesanya vs. Whittaker 2,2022-02-12,Toyota Center,"Houston, Texas, U.S","17,872",bbf0bd53e32fadadf739d8ede3e652e77aba4bcdec1633cfb496e66b7028999c
592,UFC Fight Night: Hermansson vs. Strickland,2022-02-05,UFC Apex,"Las Vegas, Nevada, U.S.",,3b90629511c2a2d311eea65aa88202b7c4bdb794eb812f9c83f53ac296afb224
591,UFC 270: Ngannou vs. Gane,2022-01-22,Honda Center,"Anaheim, California, U.S.","17,387",8f88402514ce121fee2bf58ecc13e799ebabeee052aa01013936bbbffb7bf40f
590,UFC on ESPN: Kattar vs. Chikadze,2022-01-15,UFC Apex,"Las Vegas, Nevada, U.S.",,d2928021c3691f74b068fbd988a54cd9377df682391e95dd41d7c357921dd182
589,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,UFC Apex,"Las Vegas, Nevada, U.S.",,83981b2129b2d3283bd1158db1adaa62f726b00dd8d7d19b2691bb772cb70dda
588,UFC 269: Oliveira vs. Poirier,2021-12-11,T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,471",591d88feda7d0c0fb77f20617b852721d9a58336f1b483ab9d38bdac6ea90a68
587,UFC on ESPN: Font vs. Aldo,2021-12-04,UFC Apex,—,"18,471",240eccef8cf794a44bccdfb576b3a2d3a2f75b6048470491365e8e41c7eb7c37
586,UFC Fight Night: Vieira vs. Tate,2021-11-20,UFC Apex,—,"18,471",7edee9c05731cba0df5f189fbc1ffc4626258905fdaf77a425ac99e703a761ef
585,UFC Fight Night: Holloway vs. Rodríguez,2021-11-13,UFC Apex,—,"18,471",7b5d2df2e991aa147c6567a97e6d7c8e846bcb98c8560b4d08bc2fe612e2552d
584,UFC 268: Usman vs. Covington 2,2021-11-06,Madison Square Garden,"New York City, New York, U.S.","20,715",dc90f725aef89b70d254898c386c1989c9985567c0a341cabcb1435e9d66ada0
583,UFC 267: Błachowicz vs. Teixeira,2021-10-30,Etihad Arena,"Abu Dhabi, United Arab Emirates","10,171",bf8f57c5efa804f88f46c65220be1c9c7b69e5bc0021ecb164ac06e4402bbb54
582,UFC Fight Night: Costa vs. Vettori,2021-10-23,UFC Apex,"Las Vegas, Nevada, U.S.",,d9df7d4df2ccfbffefb608dbcc18e933b641f2628ef4ee479b918e11a2e8ed71
581,UFC Fight Night: Ladd vs. Dumont,2021-10-16,UFC Apex,"Las Vegas, Nevada, U.S.",,6db6b6de70c01bb8d4004b52a8993fe88e2253ea108462b105a186333ab97a71
580,UFC Fight Night: Dern vs. Rodriguez,2021-10-09,UFC Apex,"Las Vegas, Nevada, U.S.",,c12c6fe4c974083ee6dd0d1403c357ece960616036478956aa9a4bcb67f8f2e4
579,UFC Fight Night: Santos vs. Walker,2021-10-02,UFC Apex,"Las Vegas, Nevada, U.S.",,d8322b1cd790dd3f5aefcb7a70d743d8ae4af330100914bc72a48ac9d6f49361
578,UFC 266: Volkanovski vs. Ortega,2021-09-25,T-Mobile Arena,"Las Vegas, Nevada, U.S.","19,029",61b7e58e8530563fa91600e247ea91f7abba4b6c5cc70169e0c53c2de5b33afb
577,UFC Fight Night: Smith vs. Spann,2021-09-18,UFC Apex,—,"19,029",2d01b6e96405e080e9100747a4b65844a7c46a3178cbd5b2d36d1d60f34622bb
576,UFC Fight Night: Brunson vs. Till,2021-09-04,UFC Apex,—,"19,029",7d441dbabb2a8f4d4e66d312124d526b3280d7893db79626273d7995354788bd
575,UFC on ESPN: Barboza vs. Chikadze,2021-08-28,UFC Apex,—,"19,029",ddfe29fdeb35c21196c06cbc8f9fb5dcdae717e9d85df1a536a36198496e1f9a
574,UFC on ESPN: Cannonier vs. Gastelum,2021-08-21,UFC Apex,—,"19,029",39813dd62f76af5b529d3bbb507218090e8bc8c6def4c4e821b82189718fcb76
573,UFC 265: Lewis vs. Gane,2021-08-07,Toyota Center,"Houston, Texas, U.S.","16,604",fff641efa48f0cff0323491b686cf4f98444a4de8b32487371635d6a85b9c4ae
572,UFC on ESPN: Hall vs. Strickland,2021-07-31,UFC Apex,"Las Vegas, Nevada, U.S.",,6551a5bfa0d1444991dba9f0d69f08b06f391c0bb21eed0bedd26063e03f6af2
571,UFC on ESPN: Sandhagen vs. Dillashaw,2021-07-24,UFC Apex,"Las Vegas, Nevada, U.S.",51,3d72839f3f096012997ae5b46248c7a55fbef170c94fa1c0d2a421c51cdeb911
570,UFC on ESPN: Makhachev vs. Moisés,2021-07-17,UFC Apex,"Las Vegas, Nevada, U.S.",0,de69ed90cbae51d75f56054ea79b2f89e9d28445d4b6812a80bb269ef344b962
