weight_class,winner,loser,method,round,time,notes,fight_card,event_name,event_id
Heavyweight,Sergei Pavlovich,Curtis Blaydes,TKO (punches),1,3:08,,Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Middleweight,Bruno Silva,Brad Tavares,TKO (knee and punch),1,3:35,,Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Lightweight,Bobby Green,Jared Gordon,No Contest (accidental clash of heads),1,4:35,[a],Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Women's Flyweight,Iasmin Lucindo,Brogan Walker-Sanchez,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Welterweight,Jeremiah Wells,Matthew Semelsberger,"Decision (split) (30–27, 28–29, 30–27)",3,5:00,,Main card,UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Lightweight,Christos Giagos,Ricky Glenn,KO (punch),1,1:35,,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Bantamweight,Montel Jackson,Rani Yahya,KO (punches),1,3:42,,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Women's Featherweight,Norma Dumont,Karol Rosa,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Heavyweight,Mohammad Usman,Junior Tafa,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Catchweight (147 lb),William Gomis,Francis Marshall,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Bantamweight,Brady Hiestand,Danaa Batgerel,TKO (punches),3,4:21,,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Featherweight,Max Holloway,Arnold Allen,"Decision (unanimous) (49–46, 49–46, 48–47)",5,5:00,,Main card,UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Featherweight,Edson Barboza,Billy Quarantillo,KO (knee),1,2:37,,Main card,UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Light Heavyweight,Azamat Murzakanov,Dustin Jacoby,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Main card,UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
Light Heavyweight,Ion Cuțelaba,Tanner Boser,TKO (punches),1,2:05,,Main card,UFC on ESPN: Holloway vs. Allen,bfc867ba2c3df4cf55769a8c90ce2bb2aeefd34b2b5c8942108a7d3c2e864179
