weight_class,winner,loser,method,round,time,fight_card,event_name,event_id
Heavyweight,Jairzinho Rozenstruik,Chris Daukaus,TKO (punches),1.0,23.0,Preliminary card (ESPN2 / ESPN+),UFC 282: Błachowicz vs. Ankalaev,502f7275b810fa0bfd4da6bb83a13ef8b24898350756ccb0ad6310b784316138
Women's Strawweight,Yan Xiaonan,Mackenzie Dern,"Decision (majority) (48–47, 48–47, 47–47)",5.0,300.0,Main card,UFC Fight Night: Dern vs. Yan,d1dd88bc1688afaaf959d6781476fd5836ef769bb69989210224cb15d85c6557
Flyweight,Charles Johnson,Jimmy Flick,TKO (elbows and punches),1.0,273.0,Preliminary card (ESPN+),UFC Fight Night: Strickland vs. Imavov,f7c8f38c30c26710fd0dd9c4f75b750a182b92339b8c26cb70403355c02641aa
Women's Strawweight,Cory McKenna,Miranda Granger,Submission (Von Flue choke),2.0,63.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Santos vs. Hill,d08c2ed3004e04c4146d2fd152a65b5c191095854e54f82776679f21466a0d28
Featherweight,Francis Marshall,Marcelo Rojo,KO (punches),2.0,74.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Thompson vs. Holland,79f9095f5c2409de8b3ab55694026f915dd4075d84e015a5cfd015996cd8bab3
Featherweight,Dan Ige,Damon Jackson,KO (punch),2.0,253.0,Main card,UFC Fight Night: Strickland vs. Imavov,f7c8f38c30c26710fd0dd9c4f75b750a182b92339b8c26cb70403355c02641aa
Welterweight,Jack Della Maddalena,Danny Roberts,TKO (punches),1.0,204.0,Main card,UFC Fight Night: Nzechukwu vs. Cuțelaba,89784624f21b2c466825bf3a7db9b33caa7a873b16858d07b46e455761315688
Middleweight,Roman Dolidze,Phil Hawes,KO (punches),1.0,249.0,Preliminary card (ESPN+),UFC Fight Night: Kattar vs. Allen,ab90cb8e05490e5502fc2a7a9c5287e6d3b4836e22e67f9cf12663c7abf3b4fa
Catchweight (120 lb),Angela Hill,Lupita Godinez,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card (ESPN / ESPN+),UFC on ESPN: Vera vs. Cruz,9df7e5274a4be85e767b411c0884303fb7e458ca039f4a2b6cc8e795177de09c
Women's Bantamweight,Lucie Pudilová,Wu Yanan,TKO (elbows),2.0,244.0,Main card,UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Heavyweight,Mohammad Usman,Junior Tafa,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Pavlovich vs. Blaydes,58cb1f65abe0d87d636582d45edbb984fe4c92044d67d3ab8a2a06c7d02d12f3
Catchweight (157.5 lb),Grant Dawson,Mark Madsen,Submission (rear-naked choke),3.0,125.0,Main card,UFC Fight Night: Rodriguez vs. Lemos,2d3f40573aadf9b4c546662e6812130488efc9a4555a0c001ea3314d23ae7f46
Heavyweight,Justin Tafa,Parker Porter,KO (punch),1.0,66.0,Main card,UFC 284: Makhachev vs. Volkanovski,ce40cb6b82744f27a5062260ab048c0f07b7cd588bacdeaa3b975874474616c7
Women's Flyweight,Jasmine Jasudavicius,Gabriella Fernandes,"Decision (unanimous) (30–26, 30–26, 30–26)",3.0,300.0,Preliminary card (ESPN+),UFC Fight Night: Muniz vs. Allen,c1a6307ea5d9a56f47e3271221b55336730ff2a3626a3b84c5b2e1ad55525692
Light Heavyweight,Tyson Pedro,Harry Hunsucker,TKO (body kick and punches),1.0,65.0,Main card,UFC 278: Usman vs. Edwards 2,6b3f91db3bcc05cf7f9c94a01148f41e1c6d2fb7d03e764fcb5ed82ab9b1b207
Featherweight,Alexander Volkanovski (c),Max Holloway,"Decision (unanimous) (50–45, 50–45, 50–45)",5.0,300.0,Main card,UFC 276: Adesanya vs. Cannonier,90d00d67e135fde8b81be31e56969e5ef556663d522778fd7b6ba745fc0fe6f5
Women's Strawweight,Mackenzie Dern,Angela Hill,"Decision (unanimous) (49–43, 49–44, 49–44)",5.0,300.0,Main card,UFC Fight Night: Dern vs. Hill,d8efd546a501350524b7b0987463472ddc45083f561753df30f5e0e468e4271a
Catchweight (117.5 lb),Karolina Kowalkiewicz,Vanessa Demopoulos,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary Card (ESPN+),UFC Fight Night: Dern vs. Hill,d8efd546a501350524b7b0987463472ddc45083f561753df30f5e0e468e4271a
Light Heavyweight,Marcin Prachnio,William Knight,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Andrade vs. Blanchfield,adee5b8894a29bd40c722f70d20ff83beae58e3bb1eeebf96c510dd3b75d5db7
