#,Event,Date,Venue,Location,Attendance
305,Bellator 299,"September 23, 2023",3Arena,"Dublin, Ireland",
304,Bellator 298,"August 11, 2023",Sanford Pentagon,"Sioux Falls, South Dakota, U.S.",
303,Bellator MMA x Rizin 2,"July 30, 2023",Saitama Super Arena,"Saitama, Japan",
302,Bellator 297,"June 16, 2023",Wintrust Arena,"Chicago, Illinois, U.S.",
301,Bellator 296,"May 12, 2023",Accor Arena,"Paris, France",
300,Bellator 295,"April 22, 2023",Neal S. Blaisdell Arena,"Honolulu, Hawaii, U.S.",
299,Bellator 294,"April 21, 2023",Neal S. Blaisdell Arena,"Honolulu, Hawaii, U.S.",
298,Bellator 293,"March 31, 2023",Pechanga Resort and Casino,"Temecula, California, U.S.",
297,Bellator 292,"March 10, 2023",SAP Center,"San Jose, California, U.S.",
296,Bellator 291,"February 24, 2023",3Arena,"Dublin, Ireland",
295,Bellator 290,"February 4, 2023",Kia Forum,"Inglewood, California, U.S.",
294,Bellator MMA vs. Rizin,"December 31, 2022",Saitama Super Arena,"Saitama, Japan",
293,Bellator 289,"December 9, 2022",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.",
292,Bellator 288,"November 18, 2022",Wintrust Arena,"Chicago, Illinois, U.S.",
291,Bellator 287,"October 29, 2022",Allianz Cloud Arena,"Milan, Italy",
290,Bellator 286,"October 1, 2022",Long Beach Arena,"Long Beach, California, U.S.",
289,Bellator 285,"September 23, 2022",3Arena,"Dublin, Ireland",
288,Bellator 284,"August 12, 2022",Sanford Pentagon,"Sioux Falls, South Dakota, U.S.",2900
287,Bellator 283,"July 22, 2022",Emerald Queen Casino and Hotel,"Tacoma, Washington, U.S.",1012
286,Bellator 282,"June 24, 2022",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.",10000
285,Bellator 281,"May 13, 2022",SSE Arena,"London, England",8779
284,Bellator 280,"May 6, 2022",AccorHotels Arena,"Paris, France",13131
283,Bellator 279,"April 23, 2022",Neal S. Blaisdell Arena,"Honolulu, Hawaii, U.S.",6516
282,Bellator 278,"April 22, 2022",Neal S. Blaisdell Arena,"Honolulu, Hawaii, U.S.",6516
281,Bellator 277,"April 15, 2022",SAP Center,"San Jose, California, U.S.",13950
280,Bellator 276,"March 12, 2022",Family Arena,"St. Louis, Missouri, U.S.",7053
279,Bellator 275,"February 25, 2022",3Arena,"Dublin, Ireland",8806
278,Bellator 274,"February 19, 2022",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.",11454
277,Bellator 273,"January 29, 2022",Footprint Center,"Phoenix, Arizona, U.S.",12.077
276,Bellator 272,"December 3, 2021",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.",7600
275,Bellator 271,"November 12, 2021",Seminole Hard Rock Hotel & Casino Hollywood,"Hollywood, Florida, U.S.",2411
274,Bellator 270,"November 5, 2021",3Arena,"Dublin, Ireland",10.932
273,Bellator 269,"October 23, 2021",VTB Arena,"Moscow, Russia",11900
272,Bellator 268,"October 16, 2021",Footprint Center,"Phoenix, Arizona, U.S.",9902
271,Bellator 267,"October 1, 2021",Wembley Arena,"London, England",8867
270,Bellator 266,"September 18, 2021",SAP Center,"San Jose, California, U.S.",14147
269,Bellator 265,"August 20, 2021",Sanford Pentagon,"Sioux Falls, South Dakota, U.S.",2900
268,Bellator 264,"August 13, 2021",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.",10000
267,Bellator 263,"July 31, 2021",The Forum,"Inglewood, California, U.S.",7024
266,Bellator 262,"July 16, 2021",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.",12000
265,Bellator 261,"June 25, 2021",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.",9112
264,Bellator 260,"June 11, 2021",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.",5667
263,Bellator 259,"May 21, 2021",Mohegan Sun Arena,"Uncasville, Connecticut, U.S.",0
