#,Event,Date,Venue,Location,Attendance
253,ONE Fight Night 13: Allazov vs. Grigorian,"August 5, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",
252,ONE Fight Night 12,"July 15, 2023",,,
251,ONE Friday Fights 22: Bhullar vs. Malykhin,"June 23, 2023",,,
250,ONE Friday Fights 21,"June 16, 2023",,,
249,ONE Fight Night 11: Eersel vs. Menshikov,"June 10, 2023",,,
248,ONE Friday Fights 20,"June 9, 2023",,,
247,ONE Friday Fights 19: Kulabdam vs. Musaev,"June 2, 2023",,,
246,ONE Friday Fights 18: Harrison vs. Pongsiri,"May 26, 2023",,,
245,ONE Friday Fights 17: Pompetch vs. Duangsompong,"May 19, 2023",,,
244,ONE Friday Fights 16: ET vs. Kongthoranee,"May 12, 2023",,,
243,ONE Fight Night 10: Johnson vs. Moraes 3,"May 5, 2023",1stBank Center,"Broomfield, Colorado, U.S.",
242,ONE Friday Fights 15: Nakrob vs. Ploywitthaya,Lumpinee Boxing Stadium,"Bangkok, Thailand",,
241,ONE Friday Fights 14: Gingsanglek vs. Chorfah,"April 29, 2023",,,
240,ONE Fight Night 9: Nong-O vs. Haggerty,"April 22, 2023",,,
239,ONE Friday Fights 13: Batman vs. Paidang,"April 21, 2023",,,
238,ONE Friday Fights 12: Petsukumvit vs. Kongthoranee,"April 7, 2023",,,
237,ONE Friday Fights 11: Superball vs. Kongklai 2,"March 31, 2023",,,
236,ONE Fight Night 8: Superlek vs. Williams,"March 25, 2023",Singapore Indoor Stadium,"Kallang, Singapore",
235,ONE Friday Fights 10: Yodkrisada vs. Thepthaksin,"March 24, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",
234,ONE Friday Fights 9: Eersel vs. Sinsamut 2,"March 17, 2023",,,
233,ONE Friday Fights 8: Petsukumvit vs. Petchmuangsri,"March 10, 2023",,,
232,ONE Friday Fights 7: Rambolek vs. Theeradet,"March 3, 2023",,,
231,ONE Fight Night 7: Lineker vs. Andrade 2,"February 25, 2023",,,
230,ONE Friday Fights 6: Gingsanglek vs. Kongthoranee,"February 24, 2023",,,
