#,Event,Date,Venue,City
89,THAI FIGHT 100 Years Rajabhat Korat,"May 21, 2023",Nakhon Ratchasima Rajabhat University,"Nakhon Ratchasima, Thailand"
88,THAI FIGHT Rome 2,"April 22, 2023",Palacesaroni,"Rome, Italy"
87,THAI FIGHT KonLakPathum 2,"February 5, 2023",Jumbo Market,"Pathum Thani, Thailand"
86,THAI FIGHT Luang Phor Ruay,"February 5, 2023",Courtyard beside Wat Cherng Khao,"Saraburi, Thailand"
85,THAI FIGHT 100 Years Metropolitan,"December 24, 2022",The courtyard in front of Nimibutr Stadium,"Bangkok, Thailand"
84,THAI FIGHT Vana Nava Huahin,"November 20, 2022",True Arena Huahin,"Hua Hin, Prachuap Khiri Khan, Thailand"
83,THAI FIGHT Vajiravudh,"October 16, 2022",Asiatique the Riverfront,"Bangkok, Thailand"
82,THAI FIGHT Sisaket,"June 26, 2022",Pooyai Heng's Sports Arena,"Sisaket, Thailand"
81,THAI FIGHT Nakhon Sawan,"May 29, 2022",Ban Rai Subdistrict Administrative Organization,"Nakhon Sawan, Thailand"
80,THAI FIGHT Sung Noen,"May 8, 2022",Prasat Muang Khaek,"Suen Noen, Nakhon Ratchasima, Thailand"
79,THAI FIGHT KonLak Pathum,"April 17, 2022",Nakorn Rangsit Multipurpose Square,"Pathum Thani, Thailand"
78,THAI FIGHT Lampang,"March 20, 2022",Wat Phra That Lampang Luang,"Lampang, Thailand"
77,THAI FIGHT Khao Aor,"December 19, 2021",Wat Khao Aor Stadium,"Phatthalung, Thailand"
76,THAI FIGHT Strong,"July 4, 2021",JF Boxing Pattaya,"Pattaya, Chonburi, Thailand"
75,THAI FIGHT DMHTT,"April 25, 2021",Omnoi Stadium,"Samut Sakhon, Thailand"
74,THAI FIGHT Nan,"April 3, 2021","Pa Pei Yard, Huaen Hung Tor","Nan, Thailand"
73,THAI FIGHT Pluak Daeng,"November 28, 2020",CK Plaza,"Rayong, Thailand"
72,THAI FIGHT Korat 2020,"November 7, 2020",City Hall Ground,"Nakhon Ratchasima, Thailand"
71,THAI FIGHT Begins,"October 17, 2020",CentralPlaza Westgate,"Nonthaburi, Thailand"
70,THAI FIGHT New Normal,"September 19, 2020",MCC Hall the Mall Bangkapi,"Bangkok, Thailand"
69,THAI FIGHT Thai Fest in Patong,"December 21, 2019",The Myth Patong,"Phuket, Thailand"
68,THAI FIGHT Mae Sot,"November 23, 2019",Naresuan Stadium,"Mae Sot, Tak, Thailand"
67,THAI FIGHT Bangsaen,"October 26, 2019",Laem Thaen Bangsaen,"Bang Saen Beach, Chonburi, Thailand"
66,THAI FIGHT Kham Chanod,"August 24, 2019",Montatip Hall at UD Town,"Udon Thani, Thailand"
65,THAI FIGHT Betong,"June 29, 2019",Betong Municipal Stadium,"Betong, Yala, Thailand"
64,THAI FIGHT Samui 2019,"April 27, 2019",Phru Chaweng,"Ko Samui, Surat Thani, Thailand"
63,THAI FIGHT Mueang Khon 2019,"March 30, 2019",CentralPlaza Nakhon Si Thammarat,"Nakhon Si Thammarat, Thailand"
62,THAI FIGHT Phuket,"February 23, 2019",Laguna Phuket,"Phuket, Thailand"
61,THAI FIGHT Nakhon Ratchasima,"December 22, 2018",City Hall Ground,"Nakhon Ratchasima, Thailand"
60,THAI FIGHT Saraburi,"November 24, 2018",Wat Phra Phutthabat,"Saraburi, Thailand"
