weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link
Heavyweight,Ryan Bader,Fedor Emelianenko,TKO (punches),1,0:35,[a],Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Henry Corrales,Aaron Pico,KO (punches),1,1:07,,Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Jake Hager,J.W. Kiser,Submission (arm-triangle choke),1,2:09,,Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Juan Archuleta,Ricky Bandejas,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Adel Altamimi,Brandon McMahan,Submission (armbar),1,1:16,,Main card,Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Thor Skancke,Jesse Merritt,Submission (north-south choke),1,4:26,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (160 lb),Jesse Roberts,AJ Agazarm,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Catchweight (137 lb),Weber Almeida,Odan Chinchilla,KO (punch),1,3:04,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Heavyweight,Art Rivas,Sean Johnson,TKO (knees and punches),1,4:30,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Featherweight,Jay Jay Wilson,Tyler Beneke,Submission (rear-naked choke),1,1:31,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Bantamweight,Ryan Lilley,James Barnes,KO (head kick),1,1:03,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
Welterweight,Craig Plaskett,Ian Butler,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card (Bellator.com and Bellator Mobile App),Bellator 214,https://en.wikipedia.org//wiki/Bellator_MMA_in_2019
