weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link,weight
Middleweight 85 kg,Jason Wilnis (c),Israel Adesanya,Decision (Unanimous),5,3:00,For the Glory Middleweight Championship,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Yoann Kongolo,Karim Benmansour,KO (Punches),3,2:57,Welterweight Contender Tournament Final,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Guto Inocente,D'Angelo Marshall,Decision (Extra Round),4,3:00,,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Karim Benmansour,Alan Scheinson,Decision (Split),3,3:00,Welterweight Contender Tournament Semi-Finals,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Welterweight 77 kg,Yoann Kongolo,Konstantin Khuzin,Decision (Unanimous),3,3:00,Welterweight Contender Tournament Semi-Finals,Main card,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Robin van Roosmalen,Matt Embree,TKO (Punches),4,2:00,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Heavyweight 120 kg,Jhonata Diniz,Tomáš Možný,Decision (Unanimous),3,3:00,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Middleweight 85 kg,Warren Thompson,Mike Lemaire,Decision (Unanimous),3,3:00,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Women's Super Bantamweight 55 kg,Zoila Frausto,Daniela Graf,Decision (Unanimous),3,3:00,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Featherweight 65 kg,Giga Chikadze,Victor Pinto,KO (Liver Kick),1,2:03,,Superfight Series,Glory 37: Los Angeles,https://en.wikipedia.org//wiki/2017_in_Glory,
Light Heavyweight 95 kg,Artem Vakhitov (c),Saulo Cavalari,TKO (Punches),2,2:43,For the Glory Light Heavyweight Championship,Main card,Glory 38: Chicago,https://en.wikipedia.org//wiki/2017_in_Glory,
