weight_class,winner,loser,method,round,time,notes,fight_card,event_name,unnamed:_7_level_1
Lightweight,Felipe Enomoto,Ole Laursen,Submission (rear-naked choke),2,3:49,,Main card,ONE Fighting Championship: Battle of Heroes,
Featherweight,Bae Young Kwon,Honorio Banario,Submission (rear-naked choke),1,0:56,,Main card,ONE Fighting Championship: Battle of Heroes,
Welterweight,Rustam Khabilov,Rodrigo Ribeiro,Decision (unanimous),3,5:00,,Main card,ONE Fighting Championship: Battle of Heroes,
Bantamweight,Gustavo Falciroli,Soo Chul Kim,Submission (rear-naked choke),1,1:12,,Main card,ONE Fighting Championship: Battle of Heroes,
Heavyweight,Rolles Gracie,Bob Sapp,TKO (submission to punches),1,1:18,,Main card,ONE Fighting Championship: Battle of Heroes,
Featherweight,Victorio Senduk,Raymond Tiew,TKO (knee injury),1,4:02,,Preliminary Card,ONE Fighting Championship: Battle of Heroes,
Flyweight,Geje Eustaquio,Alex Silva,Decision (unanimous),3,5:00,,Preliminary Card,ONE Fighting Championship: Battle of Heroes,
Bantamweight,Irshaad Sayed,Jessie Rafols,KO (punch to the body),1,1:49,,Preliminary Card,ONE Fighting Championship: Battle of Heroes,
Lightweight,Peter Davis,Ngabdi Mulyadi,Submission (triangle choke),3,3:54,,Preliminary Card,ONE Fighting Championship: Battle of Heroes,
Welterweight,Zuli Silawanto,Agus Nanang,TKO (punches),1,0:47,,Preliminary Card,ONE Fighting Championship: Battle of Heroes,
Lightweight,Zorobabel Moreira,Felipe Enomoto,Submission (armbar),3,1:04,,Main card,ONE Fighting Championship: War of the Lions,
Featherweight,Tatsuya Kawajiri,Donald Sanchez,Submission (triangle choke),1,3:27,,Main card,ONE Fighting Championship: War of the Lions,
Lightweight,Ole Laursen,Eduard Folayang,Decision (split),3,5:00,,Main card,ONE Fighting Championship: War of the Lions,
Welterweight,Fabricio Monteiro,Yuya Shirai,Decision (unanimous),3,5:00,,Main card,ONE Fighting Championship: War of the Lions,
Catchweight (195lb),Melvin Manhoef,Yoshiyuki Nakanishi,No contest,1,2:08,[a],Main card,ONE Fighting Championship: War of the Lions,
Lightweight,Eddie Ng,Jian Kai Chee,TKO (punches),1,0:43,,Main card,ONE Fighting Championship: War of the Lions,
Bantamweight,Masakazu Imanari,Kevin Belingon,Submission (reverse heel hook),1,1:18,,Preliminary Card,ONE Fighting Championship: War of the Lions,
